trip_id,start_time,end_time,headway_secs,exact_times
weekday_P1080_P108002_4,18:40:00,20:00:00,2400,0
weekend_P1080_P108002_0,07:00:00,08:30:00,2700,0
weekend_P1080_P108002_1,09:15:00,12:15:00,2700,0
weekend_P1080_P108002_2,13:00:00,16:45:00,2700,0
weekend_P1080_P108002_3,17:30:00,20:00:00,3000,0
weekend_P1010_P101002_0,07:00:00,17:30:00,2700,0
weekend_P1010_P101002_1,18:20:00,20:00:00,3000,0
weekday_U3030_U303002_0,05:30:00,09:00:00,900,0
weekday_U3030_U303002_1,09:20:00,10:00:00,1200,0
weekday_U3030_U303002_2,10:20:00,12:40:00,1200,0
weekday_U3030_U303002_3,13:00:00,15:40:00,1200,0
weekday_U3030_U303002_4,16:00:00,17:45:00,900,0
weekday_U3030_U303002_5,18:00:00,21:00:00,1800,0
weekday_U3030_U303002_6,21:35:00,22:15:00,2400,0
weekend_U3030_U303002_0,05:30:00,06:45:00,1500,0
weekend_U3030_U303002_1,07:10:00,07:30:00,1200,0
weekend_U3030_U303002_2,07:55:00,09:10:00,1500,0
weekend_U3030_U303002_3,09:40:00,10:30:00,1500,0
weekend_U3030_U303002_4,11:00:00,20:30:00,1800,0
weekend_U3030_U303002_5,21:00:00,21:30:00,1800,0
weekend_U3030_U303002_6,22:00:00,22:20:00,1200,0
weekday_U4200_U420002_0,05:20:00,05:40:00,1200,0
weekday_U4200_U420002_1,06:00:00,07:15:00,900,0
weekday_U4200_U420002_2,07:30:00,09:15:00,900,0
weekday_U4200_U420002_3,09:35:00,11:55:00,1200,0
weekday_U4200_U420002_4,12:15:00,14:35:00,1200,0
weekday_U4200_U420002_5,14:55:00,17:15:00,1200,0
weekday_U4200_U420002_6,17:35:00,19:15:00,1200,0
weekday_U4200_U420002_7,19:35:00,20:05:00,1800,0
weekday_U4200_U420002_8,20:35:00,21:10:00,2100,0
weekday_U4200_U420002_9,21:40:00,22:10:00,1800,0
